,TITULAR,DESCRIPCIÓN,LINKS
0,Andrés Hurtado dio positivo al test de COVID-19 y se encuentra hospitalizado [VIDEO],La producción del programa “Hoy es sábado con Andrés” informó que el conductor de televisión se encuentra internado en la clínica San Pablo de Su...,https://elcomercio.pe/tvmas/farandula/coronavirus-en-el-peru-andres-hurtado-se-encuentra-hospitalizado-por-covid-19-nndc-noticia/
1,Oxímetro: ¿cómo detectar cuando una persona tiene insuficiencia respiratoria? Aquí te explicamos ,El oxímetro de pulso es un dispositivo clave en pacientes que experimentan dificultad para respirar o que tienen problemas pulmonares o cardíacos...,https://elcomercio.pe/respuestas/oximetro-como-detectar-cuando-se-tiene-insuficiencia-respiratoria-coronavirus-covid-19-como-usar-un-oximetro-revtli-noticia/
2,Toque de queda en Perú: ¿Puedo pasear a mi perro los domingos de inmovilización obligatoria?,El Ministerio del Interior informó que la salida es “por un tiempo breve” y únicamente para que realicen sus necesidades. Conoce aquí todos los d...,https://elcomercio.pe/respuestas/toque-de-queda-los-domingos-puedo-sacar-a-pasear-a-mi-perro-durante-la-inmovilizacion-social-obligatoria-coronavirus-covid-19-mininter-estado-de-emergencia-revtli-noticia/
3,Inmovilización obligatoria: ¿Cuáles son las multas por incumplir las medidas de aislamiento los domingos?,Las personas que incumplan la inmovilización social obligatoria los domingos serán detenidas y recibirán multas económicas. Conoce el detalle en ...,https://elcomercio.pe/respuestas/toque-de-queda-peru-inmovilizacion-social-obligatoria-cuales-son-las-multas-por-incumplir-las-medidas-de-aislamiento-los-domingos-coronavirus-covid-19-multas-infracciones-coronavirus-en-peru-policia-nacional-del-peru-pnp-revtli-noticia/
4,Inmovilización obligatoria los domingos: ¿quiénes están autorizados para circular con su vehículo? ,"Tras hacer oficial la inmovilización social obligatoria los domingos en el Perú, te contamos quiénes son aquellos que pueden circular en vehículo...",https://elcomercio.pe/respuestas/toque-de-queda-inmovilizacion-obligatoria-los-domingos-quienes-estan-autorizados-para-circular-con-su-vehiculo-l-domingo-covid-19-coronavirus-peru-estado-de-emergencia-inmovilizacion-social-obligatoria-martin-vizcarra-revtli-noticia/
5,Nuevo pase laboral 2020: ¿cómo realizar el trámite? Aquí los pasos y recomendaciones,Los ministerios del Interior y de Defensa compartieron el procedimiento para conseguir el pase que permitirá a las personas desplazarse durante l...,https://elcomercio.pe/respuestas/nuevo-pase-laboral-2020-como-realizar-el-tramite-aqui-los-pasos-y-recomendaciones-paso-a-paso-ministerio-de-defensa-y-del-interior-inmovilizacion-social-obligatoria-estado-de-emergencia-martin-vizcarra-peru-revtli-noticia/
6,Nuevo pase vehicular 2020: ¿Cómo tramitarlo y quiénes podrán hacerlo?,El nuevo pase vehicular será necesario para que las  personas se movilicen los domingos. En esta nota te contamos todos los detalles.,https://elcomercio.pe/respuestas/nuevo-pase-vehicular-2020-como-tramitarlo-y-quienes-podran-hacerlo-aqui-te-explicamos-coronavirus-peru-covid-19-permiso-toque-de-queda-pandemia-estado-de-emergencia-cuarentena-multas-revtli-noticia/
7,Toque de queda los domingos: ¿Quiénes pueden transitar durante la inmovilización obligatoria?,Este último viernes se extendió la inmovilización social obligatoria de los domingos hasta el 30 de setiembre. ¿Quiénes están exentos de esta med...,https://elcomercio.pe/respuestas/toque-de-queda-quienes-pueden-transitar-los-domingos-de-inmovilizacion-obligatoria-coronavirus-covid-19-pandemia-minsa-estado-de-emergencia-martin-vizcarra-cuarentena-revtli-noticia/
8,Barranco: ¿por qué se puso en venta el tradicional vagón al lado del Puente de los Suspiros?,"No hay turista que no se haya tomado una fotografía en este vagón, en el corazón de Barranco. Conoce más de su historia, por qué está a la venta ...",https://elcomercio.pe/vamos/noticias/tren-de-barranco-en-venta-por-que-se-puso-en-venta-el-tradicional-vagon-al-lado-del-puente-de-los-suspiros-virgen-de-guadalupe-municipalidad-de-barranco-coronavirus-jose-jaime-elias-perez-noticia/
9,"Coronavirus EN VIVO | Últimas noticias, casos y muertes por COVID-19 en el mundo, hoy 05 de setiembre ",Coronavirus EN VIVO en el mundo | Sigue aquí EN DIRECTO las últimas noticias y conoce las cifras actualizadas de la pandemia COVID-19 en todo el ...,https://elcomercio.pe/mundo/datos-coronavirus-en-vivo-noticias-casos-y-muertos-por-covid-19-en-el-mundo-hoy-05-de-setiembre-2020-pandemia-oms-vacuna-sars-cov-2-noticia/
10,"EE.UU. rebasa los 6,2 millones de casos de la COVID-19",Se registaron 43.043 contagios más que el viernes y 805 fallecidos. Nueva York sigue siendo el Estado más golpeado con la mayor cantidad de muert...,https://elcomercio.pe/mundo/eeuu/coronavirus-en-estados-unidos-en-vivo-hoy-sabado-5-de-setiembre-de-2020-eeuu-rebasa-los-62-millones-de-casos-de-la-covid-19-usa-casos-y-cifras-oficiales-donald-trump-noticia/
11,Venezuela supera los 52.000 casos de COVID-19 y llega a 420 muertos,"Este sábado, se reportaron 1.192 nuevos contagios. Caracas fue la región que más aportó a la cifra.",https://elcomercio.pe/mundo/venezuela/datos-coronavirus-en-venezuela-casos-y-cifras-oficiales-del-5-de-setiembre-venezuela-supera-los-52000-casos-de-covid-19-y-llega-a-420-muertos-noticia/
12,Venezuela: presidente del Tribunal Supremo dio positivo al coronavirus,"El Tribunal Supremo de Justicia (TSJ) informó que su titular, Maikel Moreno, fue diagnosticado con el COVID-19, y se encuentra aislado en buenas ...",https://elcomercio.pe/mundo/venezuela/presidente-del-tribunal-supremo-dio-positivo-al-covid-19-nndc-coronavirus-venezuela-noticia/
13,"Coronavirus Perú EN VIVO | Cifras oficiales y noticias en el día 174 del estado de emergencia, hoy 5 de setiembre ","Coronavirus Perú EN VIVO | Últimas noticias, cifras oficiales del Minsa y datos sobre el avance de la pandemia en el país, HOY sábado 05 de setie...",https://elcomercio.pe/peru/datos-minsa-coronavirus-peru-en-vivo-cifras-oficiales-noticias-casos-y-muertes-por-covid-19-hoy-5-de-setiembre-2020-dia-174-del-estado-de-emergencia-ministerio-de-salud-martin-vizcarra-cuarentena-focalizada-noticia/
14,México llega a 629.409 contagios y 67.326 decesos por coronavirus,"Este sábado se registraron 6.319 contagios y 475 muertos. Según datos de la Universidad Johns Hopkins, el país ocupa el cuarto lugar en cifras de...",https://elcomercio.pe/mundo/mexico/coronavirus-en-mexico-en-vivo-casos-y-cifras-oficiales-del-sabado-5-de-setiembre-mexico-llega-a-629409-contagios-y-67326-decesos-por-coronavirus-ultimo-minuto-en-directo-amlo-cdmx-noticia/
15,Alemania fortalecerá la sanidad pública con 4 mil millones de euros,"La inversión se hará hasta el 2026 con el objetivo crear, al menos, cinco mil empleos nuevos para médicos y personal relacionado, y modernizar el...",https://elcomercio.pe/mundo/europa/alemania-fortalecera-la-sanidad-publica-con-4-mil-millones-de-euros-covid-19-noticia/
